Id,Steps,Reward,Ep steps,Ep reward,Lives,Avg Q,Avg R,Stucked
0,63,8.0,63,8.0,4,1.9265896081924438,0,False
1,112,5.0,175,13.0,3,1.9268231987953186,0,False
2,308,14.0,483,27.0,2,1.92592187722524,0,False
3,756,216.0,1239,243.0,1,1.9248186647891998,0,False
4,307,54.0,1546,297.0,0,1.9235169172286988,297.0,False
5,219,6.0,219,6.0,4,1.9227193196614583,297.0,False
6,737,37.0,956,43.0,3,1.9213766711098808,297.0,False
7,600,275.0,1556,318.0,2,1.9202197790145874,297.0,False
8,24,0.0,1580,318.0,1,1.9193506240844727,297.0,False
9,24,0.0,1604,318.0,0,1.9186248421669005,307.5,False
10,152,4.0,152,4.0,4,1.9180820963599465,307.5,False
11,136,3.0,288,7.0,3,1.917698045571645,307.5,False
12,157,7.0,445,14.0,2,1.9174361045543964,307.5,False
13,419,14.0,864,28.0,1,1.9170899306024825,307.5,False
14,388,34.0,1252,62.0,0,1.9167660792668662,225.66666666666666,False
15,718,39.0,718,39.0,4,1.9164096862077713,225.66666666666666,False
16,174,3.0,892,42.0,3,1.916112598250894,225.66666666666666,False
17,112,6.0,1004,48.0,2,1.9158336189058092,225.66666666666666,False
18,161,10.0,1165,58.0,1,1.9154949250974154,225.66666666666666,False
19,129,30.0,1294,88.0,0,1.915125596523285,191.25,False
20,539,16.0,539,16.0,4,1.9147358167739141,191.25,False
21,1214,143.0,1753,159.0,3,1.9141546162691983,191.25,False
22,220,62.0,1973,221.0,2,1.9135544559229976,191.25,False
23,142,92.0,2115,313.0,1,1.9130257964134216,191.25,False
24,62,11.0,2177,324.0,0,1.9125103616714478,217.8,False
25,884,64.0,884,64.0,4,1.911838751572829,217.8,False
26,324,41.0,1208,105.0,3,1.9111636877059937,217.8,False
27,264,27.0,1472,132.0,2,1.910461072410856,217.8,False
28,127,27.0,1599,159.0,1,1.9098267596343468,217.8,False
29,199,96.0,1798,255.0,0,1.9092111627260844,224.0,False
30,519,15.0,519,15.0,4,1.9085176990878197,224.0,False
31,172,4.0,691,19.0,3,1.9078740142285824,224.0,False
32,186,24.0,877,43.0,2,1.907267993146723,224.0,False
33,235,19.0,1112,62.0,1,1.9066513250855839,224.0,False
34,187,11.0,1299,73.0,0,1.9060578618730817,202.42857142857142,False
35,343,9.0,343,9.0,4,1.9054826696713765,202.42857142857142,False
36,650,29.0,993,38.0,3,1.9048908207867596,202.42857142857142,False
37,258,54.0,1251,92.0,2,1.9043069074028416,202.42857142857142,False
38,221,132.0,1472,224.0,1,1.903661730961922,202.42857142857142,False
39,75,1.0,1547,225.0,0,1.903030440211296,205.25,False
40,1061,84.0,1061,84.0,4,1.902307894171738,205.25,False
41,138,84.0,1199,168.0,3,1.9015714810008095,205.25,False
42,24,0.0,1223,168.0,2,1.900865640751151,205.25,False
43,24,0.0,1247,168.0,1,1.900186381556771,205.25,False
44,24,0.0,1271,168.0,0,1.8995340161853367,201.11111111111111,False
45,374,13.0,374,13.0,4,1.8988744642423547,201.11111111111111,False
46,498,20.0,872,33.0,3,1.8982392574878448,201.11111111111111,False
47,262,222.0,1134,255.0,2,1.8976289530595143,201.11111111111111,False
48,73,1.0,1207,256.0,1,1.8970454785288597,201.11111111111111,False
49,24,0.0,1231,256.0,0,1.8964815664291381,206.6,False
50,343,9.0,343,9.0,4,1.8959375035529042,206.6,False
51,410,14.0,753,23.0,3,1.8953525813726277,206.6,False
52,253,13.0,1006,36.0,2,1.8948018056041789,206.6,False
53,85,2.0,1091,38.0,1,1.8942879261793915,206.6,False
54,128,8.0,1219,46.0,0,1.8938104499470103,192.0,False
55,444,15.0,444,15.0,4,1.8933403193950653,192.0,False
56,831,90.0,1275,105.0,3,1.892839751745525,192.0,False
57,197,35.0,1472,140.0,2,1.8923156466977349,192.0,False
58,290,37.0,1762,177.0,1,1.8918060933129262,192.0,False
59,24,0.0,1786,177.0,0,1.8913055658340454,190.75,False
60,83,2.0,83,2.0,4,1.8908166435898328,190.75,False
61,621,42.0,704,44.0,3,1.8902429746043297,190.75,False
62,186,48.0,890,92.0,2,1.8896579855964297,190.75,False
63,54,1.0,944,93.0,1,1.8890933319926262,190.75,False
64,418,239.0,1362,332.0,0,1.888546633720398,201.6153846153846,False
65,152,4.0,152,4.0,4,1.8880272814721772,201.6153846153846,False
66,136,3.0,288,7.0,3,1.8875154523707147,201.6153846153846,False
67,136,3.0,424,10.0,2,1.8869836628437042,201.6153846153846,False
68,157,7.0,581,17.0,1,1.8864474555720454,201.6153846153846,False
69,245,20.0,826,37.0,0,1.8859013642583575,189.85714285714286,False
70,419,14.0,419,14.0,4,1.8853304402928956,189.85714285714286,False
71,523,21.0,942,35.0,3,1.8847692906856537,189.85714285714286,False
72,485,27.0,1427,62.0,2,1.8841351091045222,189.85714285714286,False
73,318,69.0,1745,131.0,1,1.883497739160383,189.85714285714286,False
74,214,56.0,1959,187.0,0,1.8828882360458374,189.66666666666666,False
75,1000,75.0,1000,75.0,4,1.8822662344104366,189.66666666666666,False
76,227,45.0,1227,120.0,3,1.881707643533682,189.66666666666666,False
77,86,56.0,1313,176.0,2,1.8811635206907222,189.66666666666666,False
78,109,5.0,1422,181.0,1,1.8806177936022794,189.66666666666666,False
79,169,19.0,1591,200.0,0,1.8800695657730102,190.3125,False
80,120,2.0,120,2.0,4,1.8795394367641873,190.3125,False
81,376,36.0,496,38.0,3,1.87899441108471,190.3125,False
82,274,17.0,770,55.0,2,1.8784650851445026,190.3125,False
83,579,197.0,1349,252.0,1,1.8778912325700123,190.3125,False
84,58,7.0,1407,259.0,0,1.8773297478170956,194.35294117647058,False
85,101,2.0,101,2.0,4,1.8767736498699632,194.35294117647058,False
86,178,5.0,279,7.0,3,1.8761893044943097,194.35294117647058,False
87,215,10.0,494,17.0,2,1.8756021830168637,194.35294117647058,False
88,471,15.0,965,32.0,1,1.8750172304303458,194.35294117647058,False
89,109,5.0,1074,37.0,0,1.8744314167234633,185.61111111111111,False
90,215,6.0,215,6.0,4,1.8738721150618334,185.61111111111111,False
91,573,23.0,788,29.0,3,1.8733650147914886,185.61111111111111,False
92,238,28.0,1026,57.0,2,1.8728494592892226,185.61111111111111,False
93,106,11.0,1132,68.0,1,1.8723492089738236,185.61111111111111,False
94,59,5.0,1191,73.0,0,1.8718578376268085,179.68421052631578,False
95,203,9.0,203,9.0,4,1.871369255085786,179.68421052631578,False
96,434,14.0,637,23.0,3,1.8708899942869992,179.68421052631578,False
97,55,1.0,692,24.0,2,1.870414092832682,179.68421052631578,False
98,108,5.0,800,29.0,1,1.8699413574103154,179.68421052631578,False
99,537,26.0,1337,55.0,0,1.8694767606258393,173.45,False
100,277,11.0,277,11.0,4,1.8684529161453247,173.45,False
101,393,13.0,670,24.0,3,1.8674145174026489,173.45,False
102,54,1.0,724,25.0,2,1.8664081573486329,173.45,False
103,532,351.0,1256,376.0,1,1.865397663116455,173.45,False
104,24,0.0,1280,376.0,0,1.8644151830673217,183.0952380952381,False
105,152,4.0,152,4.0,4,1.8633881771564484,183.0952380952381,False
106,87,2.0,239,6.0,3,1.8624180674552917,183.0952380952381,False
107,447,17.0,686,23.0,2,1.8614660727977752,183.0952380952381,False
108,157,7.0,843,30.0,1,1.8605010116100311,183.0952380952381,False
109,59,5.0,902,35.0,0,1.8595326805114747,176.36363636363637,False
110,227,10.0,227,10.0,4,1.8585359978675842,176.36363636363637,False
111,645,29.0,872,39.0,3,1.857522667646408,176.36363636363637,False
112,204,31.0,1076,70.0,2,1.8564867746829987,176.36363636363637,False
113,309,40.0,1385,110.0,1,1.8554192054271699,176.36363636363637,False
114,113,26.0,1498,136.0,0,1.854371519088745,174.6086956521739,False
115,202,6.0,202,6.0,4,1.8533318030834198,174.6086956521739,False
116,578,26.0,780,32.0,3,1.8522965705394745,174.6086956521739,False
117,719,94.0,1499,126.0,2,1.8512038087844849,174.6086956521739,False
118,153,29.0,1652,155.0,1,1.8501215851306916,174.6086956521739,False
119,112,5.0,1764,160.0,0,1.8490672159194945,174.0,False
120,372,10.0,372,10.0,4,1.8480047249794007,174.0,False
121,95,9.0,467,19.0,3,1.8469793891906738,174.0,False
122,159,7.0,626,26.0,2,1.845974988937378,174.0,False
123,60,8.0,686,34.0,1,1.844963481426239,174.0,False
124,88,5.0,774,39.0,0,1.8439530062675475,168.6,False
125,24,0.0,24,0.0,4,1.842997670173645,168.6,False
126,83,2.0,107,2.0,3,1.8420612347126006,168.6,False
127,293,8.0,400,10.0,2,1.8411271750926972,168.6,False
128,123,2.0,523,12.0,1,1.8401675403118134,168.6,False
129,179,5.0,702,17.0,0,1.8392303252220155,162.76923076923077,False
130,574,19.0,574,19.0,4,1.8382915699481963,162.76923076923077,False
131,427,51.0,1001,70.0,3,1.837363075017929,162.76923076923077,False
132,146,19.0,1147,89.0,2,1.8364286720752716,162.76923076923077,False
133,23,0.0,1170,89.0,1,1.835510149002075,162.76923076923077,False
134,24,0.0,1194,89.0,0,1.834596722126007,160.03703703703704,False
135,227,10.0,227,10.0,4,1.833680818080902,160.03703703703704,False
136,706,39.0,933,49.0,3,1.8328136599063873,160.03703703703704,False
137,230,9.0,1163,58.0,2,1.8319571375846864,160.03703703703704,False
138,23,0.0,1186,58.0,1,1.8311300671100617,160.03703703703704,False
139,46,4.0,1232,62.0,0,1.8302998447418213,156.53571428571428,False
140,152,4.0,152,4.0,4,1.8295132291316987,156.53571428571428,False
141,70,1.0,222,5.0,3,1.828754451274872,156.53571428571428,False
142,225,13.0,447,18.0,2,1.8280132436752319,156.53571428571428,False
143,584,26.0,1031,44.0,1,1.8272196745872498,156.53571428571428,False
144,160,6.0,1191,50.0,0,1.826437531709671,152.86206896551724,False
145,1108,74.0,1108,74.0,4,1.8256285643577577,152.86206896551724,False
146,180,16.0,1288,90.0,3,1.824804437160492,152.86206896551724,False
147,155,28.0,1443,118.0,2,1.8239908635616302,152.86206896551724,False
148,90,15.0,1533,133.0,1,1.8231764936447143,152.86206896551724,False
149,194,43.0,1727,176.0,0,1.8223472106456757,153.63333333333333,False
150,1278,206.0,1278,206.0,4,1.8214639687538148,153.63333333333333,False
151,24,0.0,1302,206.0,3,1.8206036734580993,153.63333333333333,False
152,107,5.0,1409,211.0,2,1.8197350084781647,153.63333333333333,False
153,228,110.0,1637,321.0,1,1.8188546669483185,153.63333333333333,False
154,24,0.0,1661,321.0,0,1.8179623520374297,159.03225806451613,False
155,83,2.0,83,2.0,4,1.8170806181430816,159.03225806451613,False
156,102,2.0,185,4.0,3,1.8162358736991882,159.03225806451613,False
157,280,11.0,465,15.0,2,1.8154026067256928,159.03225806451613,False
158,180,8.0,645,23.0,1,1.814568030834198,159.03225806451613,False
159,443,266.0,1088,289.0,0,1.8137759482860565,163.09375,False
160,154,4.0,154,4.0,4,1.8130127680301666,163.09375,False
161,662,32.0,816,36.0,3,1.8122626507282258,163.09375,False
162,274,30.0,1090,66.0,2,1.811548675298691,163.09375,False
163,129,10.0,1219,76.0,1,1.8108304131031037,163.09375,False
164,62,11.0,1281,87.0,0,1.8101102137565612,160.78787878787878,False
165,758,30.0,758,30.0,4,1.809346740245819,160.78787878787878,False
166,345,21.0,1103,51.0,3,1.808573261499405,160.78787878787878,False
167,96,22.0,1199,73.0,2,1.8078165411949159,160.78787878787878,False
168,126,24.0,1325,97.0,1,1.8070633518695831,160.78787878787878,False
169,47,7.0,1372,104.0,0,1.8063383519649505,159.11764705882354,False
170,474,14.0,474,14.0,4,1.8056359136104583,159.11764705882354,False
171,85,2.0,559,16.0,3,1.8049257481098175,159.11764705882354,False
172,819,84.0,1378,100.0,2,1.8042574048042297,159.11764705882354,False
173,171,50.0,1549,150.0,1,1.8036017942428588,159.11764705882354,False
174,121,6.0,1670,156.0,0,1.8029545092582702,159.02857142857144,False
175,224,7.0,224,7.0,4,1.802343875169754,159.02857142857144,False
176,395,10.0,619,17.0,3,1.801697655916214,159.02857142857144,False
177,1205,302.0,1824,319.0,2,1.8009666800498962,159.02857142857144,False
178,54,4.0,1878,323.0,1,1.8002507567405701,159.02857142857144,False
179,73,11.0,1951,334.0,0,1.7995419371128083,163.88888888888889,False
180,324,12.0,324,12.0,4,1.7988292229175569,163.88888888888889,False
181,244,24.0,568,36.0,3,1.798158209323883,163.88888888888889,False
182,247,7.0,815,43.0,2,1.7974620950222016,163.88888888888889,False
183,196,28.0,1011,71.0,1,1.7968317484855652,163.88888888888889,False
184,131,72.0,1142,143.0,0,1.7962012207508087,163.32432432432432,False
185,1098,115.0,1098,115.0,4,1.795531588792801,163.32432432432432,False
186,142,21.0,1240,136.0,3,1.7949119734764098,163.32432432432432,False
187,462,180.0,1702,316.0,2,1.7942758774757386,163.32432432432432,False
188,136,23.0,1838,339.0,1,1.79363777756691,163.32432432432432,False
189,119,29.0,1957,368.0,0,1.7930045759677886,168.71052631578948,False
190,280,11.0,280,11.0,4,1.792343841791153,168.71052631578948,False
191,263,8.0,543,19.0,3,1.7916515159606934,168.71052631578948,False
192,435,17.0,978,36.0,2,1.7909509086608886,168.71052631578948,False
193,406,298.0,1384,334.0,1,1.7902445268630982,168.71052631578948,False
194,24,0.0,1408,334.0,0,1.7895425629615784,172.94871794871796,False
195,853,41.0,853,41.0,4,1.7888098537921906,172.94871794871796,False
196,158,22.0,1011,63.0,3,1.7880622708797456,172.94871794871796,False
197,45,4.0,1056,67.0,2,1.7873186016082763,172.94871794871796,False
198,140,14.0,1196,81.0,1,1.786577571630478,172.94871794871796,False
199,154,3.0,1350,84.0,0,1.7858377707004547,170.725,False
200,280,11.0,280,11.0,4,1.7850885617733,170.725,False
201,353,12.0,633,23.0,3,1.7843337166309357,170.725,False
202,319,36.0,952,59.0,2,1.7835586988925933,170.725,False
203,47,7.0,999,66.0,1,1.7828170144557953,170.725,False
204,229,34.0,1228,100.0,0,1.782074626684189,169.0,False
205,52,1.0,52,1.0,4,1.7813832402229308,169.0,False
206,625,31.0,677,32.0,3,1.7806852626800538,169.0,False
207,185,31.0,862,63.0,2,1.7799752306938172,169.0,False
208,306,68.0,1168,131.0,1,1.7792383968830108,169.0,False
209,53,1.0,1221,132.0,0,1.7784984767436982,168.11904761904762,False
210,103,2.0,103,2.0,4,1.7777775812149048,168.11904761904762,False
211,675,33.0,778,35.0,3,1.7770693445205687,168.11904761904762,False
212,110,20.0,888,55.0,2,1.7763721764087677,168.11904761904762,False
213,126,21.0,1014,76.0,1,1.7757186126708984,168.11904761904762,False
214,153,7.0,1167,83.0,0,1.7750553894042969,166.13953488372093,False
215,489,17.0,489,17.0,4,1.7744160401821136,166.13953488372093,False
216,432,20.0,921,37.0,3,1.7737675559520723,166.13953488372093,False
217,472,24.0,1393,61.0,2,1.7731755459308625,166.13953488372093,False
218,175,6.0,1568,67.0,1,1.7725881624221802,166.13953488372093,False
219,95,9.0,1663,76.0,0,1.7719729375839233,164.0909090909091,False
220,862,44.0,862,44.0,4,1.771302491426468,164.0909090909091,False
221,221,20.0,1083,64.0,3,1.7706720888614655,164.0909090909091,False
222,171,23.0,1254,87.0,2,1.7700222635269165,164.0909090909091,False
223,60,5.0,1314,92.0,1,1.7693732273578644,164.0909090909091,False
224,196,37.0,1510,129.0,0,1.768721215724945,163.3111111111111,False
225,713,32.0,713,32.0,4,1.768087114095688,163.3111111111111,False
226,177,29.0,890,61.0,3,1.767453271150589,163.3111111111111,False
227,325,157.0,1215,218.0,2,1.766793475151062,163.3111111111111,False
228,24,0.0,1239,218.0,1,1.766153358221054,163.3111111111111,False
229,276,36.0,1515,254.0,0,1.7654927861690521,165.2826086956522,False
230,177,5.0,177,5.0,4,1.7648723828792572,165.2826086956522,False
231,268,11.0,445,16.0,3,1.7642583215236665,165.2826086956522,False
232,73,1.0,518,17.0,2,1.7636499059200288,165.2826086956522,False
233,352,40.0,870,57.0,1,1.7630156242847443,165.2826086956522,False
234,230,10.0,1100,67.0,0,1.7623764717578887,163.19148936170214,False
235,258,7.0,258,7.0,4,1.7617497062683105,163.19148936170214,False
236,985,87.0,1243,94.0,3,1.7610573041439057,163.19148936170214,False
237,100,8.0,1343,102.0,2,1.760342879295349,163.19148936170214,False
238,156,22.0,1499,124.0,1,1.7596385335922242,163.19148936170214,False
239,79,15.0,1578,139.0,0,1.7589512932300568,162.6875,False
240,202,6.0,202,6.0,4,1.7582688808441163,162.6875,False
241,715,34.0,917,40.0,3,1.7575647675991057,162.6875,False
242,185,8.0,1102,48.0,2,1.7568224787712097,162.6875,False
243,89,5.0,1191,53.0,1,1.7561509430408477,162.6875,False
244,199,15.0,1390,68.0,0,1.755458229780197,160.75510204081633,False
245,806,57.0,806,57.0,4,1.7547973895072937,160.75510204081633,False
246,89,8.0,895,65.0,3,1.754141527414322,160.75510204081633,False
247,120,10.0,1015,75.0,2,1.7534869849681853,160.75510204081633,False
248,24,0.0,1039,75.0,1,1.7528269433975219,160.75510204081633,False
249,24,0.0,1063,75.0,0,1.7521850502490997,159.04,False
250,823,43.0,823,43.0,4,1.7516346526145936,159.04,False
251,569,50.0,1392,93.0,3,1.7510625970363618,159.04,False
252,243,21.0,1635,114.0,2,1.750456964969635,159.04,False
253,129,27.0,1764,141.0,1,1.749845517873764,159.04,False
254,66,14.0,1830,155.0,0,1.7492286360263825,158.9607843137255,False
255,561,17.0,561,17.0,4,1.7485841071605683,158.9607843137255,False
256,154,4.0,715,21.0,3,1.747936018705368,158.9607843137255,False
257,187,11.0,902,32.0,2,1.7472925007343292,158.9607843137255,False
258,208,29.0,1110,61.0,1,1.7466489899158477,158.9607843137255,False
259,79,12.0,1189,73.0,0,1.7459667432308197,157.30769230769232,False
260,181,5.0,181,5.0,4,1.745267243385315,157.30769230769232,False
261,311,12.0,492,17.0,3,1.7445937168598176,157.30769230769232,False
262,197,8.0,689,25.0,2,1.7439065670967102,157.30769230769232,False
263,75,5.0,764,30.0,1,1.7432273077964782,157.30769230769232,False
264,290,14.0,1054,44.0,0,1.742559074163437,155.16981132075472,False
265,215,6.0,215,6.0,4,1.7419090926647187,155.16981132075472,False
266,790,85.0,1005,91.0,3,1.741292462348938,155.16981132075472,False
267,145,33.0,1150,124.0,2,1.7406917476654054,155.16981132075472,False
268,70,5.0,1220,129.0,1,1.7401018702983857,155.16981132075472,False
269,56,7.0,1276,136.0,0,1.7394968521595002,154.8148148148148,False
270,130,3.0,130,3.0,4,1.7388919484615326,154.8148148148148,False
271,981,54.0,1111,57.0,3,1.7383165097236633,154.8148148148148,False
272,254,108.0,1365,165.0,2,1.7377549278736115,154.8148148148148,False
273,166,69.0,1531,234.0,1,1.7371892070770263,154.8148148148148,False
274,261,46.0,1792,280.0,0,1.7366202998161315,157.0909090909091,False
275,637,20.0,637,20.0,4,1.7360051679611206,157.0909090909091,False
276,285,25.0,922,45.0,3,1.7353709661960601,157.0909090909091,False
277,227,26.0,1149,71.0,2,1.7348110127449035,157.0909090909091,False
278,226,51.0,1375,122.0,1,1.7342610490322112,157.0909090909091,False
279,72,1.0,1447,123.0,0,1.7337025797367096,156.48214285714286,False
280,152,4.0,152,4.0,4,1.7331402111053467,156.48214285714286,False
281,783,38.0,935,42.0,3,1.7325910222530365,156.48214285714286,False
282,138,19.0,1073,61.0,2,1.7320660841464997,156.48214285714286,False
283,62,11.0,1135,72.0,1,1.7315147507190705,156.48214285714286,False
284,145,28.0,1280,100.0,0,1.7309699523448945,155.49122807017545,False
285,378,13.0,378,13.0,4,1.7304665088653564,155.49122807017545,False
286,62,11.0,440,24.0,3,1.729949642419815,155.49122807017545,False
287,172,11.0,612,35.0,2,1.7294452583789826,155.49122807017545,False
288,166,125.0,778,160.0,1,1.7289579868316651,155.49122807017545,False
289,93,13.0,871,173.0,0,1.7284674549102783,155.79310344827587,False
290,785,58.0,785,58.0,4,1.7279633677005768,155.79310344827587,False
291,94,9.0,879,67.0,3,1.7274526679515838,155.79310344827587,False
292,398,278.0,1277,345.0,2,1.726970728635788,155.79310344827587,False
293,216,12.0,1493,357.0,1,1.726469964981079,155.79310344827587,False
294,56,4.0,1549,361.0,0,1.7259674763679504,159.27118644067798,False
295,169,4.0,169,4.0,4,1.7255310964584352,159.27118644067798,False
296,761,42.0,930,46.0,3,1.7251012742519378,159.27118644067798,False
297,108,5.0,1038,51.0,2,1.7246557438373566,159.27118644067798,False
298,354,70.0,1392,121.0,1,1.7241912281513214,159.27118644067798,False
